No.,Time,Source,Destination,Protocol,Length,Frame length on the wire,Info
29219,2.712316,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
29345,2.713767,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
29469,2.715255,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
29593,2.719362,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
29716,2.720617,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
29853,2.722126,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,"[TCP Previous segment not captured] , Continuation Data"
29873,2.722155,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,"[TCP Previous segment not captured] , Continuation Data"
29893,2.722406,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Continuation Data
29913,2.722436,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,"[TCP Previous segment not captured] , Continuation Data"
29933,2.722467,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Continuation Data
29967,2.72274,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Continuation Data
29987,2.722983,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Continuation Data
30007,2.723014,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Continuation Data
30027,2.723046,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Continuation Data
30047,2.723295,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Continuation Data
30067,2.723324,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Continuation Data
30087,2.72367,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Continuation Data
30109,2.723701,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Continuation Data
30129,2.72373,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Continuation Data
30149,2.724051,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Continuation Data
30171,2.724082,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Continuation Data
30191,2.724111,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Continuation Data
